ticker,entry_time,exit_time,entry_price,exit_price,highest_price,pnl
NVTK,2021-03-18 12:00:00+00:00,2021-03-18 18:00:00+00:00,1497.4,1444.8,1497.4,-702.5510885534936
CHMF,2021-03-31 13:00:00+00:00,2021-04-01 14:00:00+00:00,1524.8,1503.2,1540.0,-281.3254061499533
VTBR,2021-03-31 15:00:00+00:00,2021-04-02 09:00:00+00:00,213.15,210.475,216.525,-199.3868549570692
VTBR,2021-04-06 09:00:00+00:00,2021-04-06 16:00:00+00:00,223.9,216.65,223.9,-639.9476022465034
CHMF,2021-04-06 14:00:00+00:00,2021-04-07 07:00:00+00:00,1514.8,1471.0,1514.8,-457.16113707788406
VTBR,2021-04-07 08:00:00+00:00,2021-04-09 07:00:00+00:00,219.575,218.5,223.425,-95.68357053793824
CHMF,2021-04-12 11:00:00+00:00,2021-04-15 06:00:00+00:00,1584.2,1600.0,1642.0,194.73025130406893
VTBR,2021-04-13 15:00:00+00:00,2021-04-19 11:00:00+00:00,226.825,232.625,238.0,399.4049172179561
CHMF,2021-04-15 07:00:00+00:00,2021-04-19 14:00:00+00:00,1628.6,1734.2,1805.0,1065.9705112753797
VTBR,2021-04-20 09:00:00+00:00,2021-04-20 15:00:00+00:00,238.95,231.525,239.4,-394.89249273600575
PLZL,2021-04-19 16:00:00+00:00,2021-04-23 07:00:00+00:00,1518.6,1546.2,1589.0,360.8902647912009
CHMF,2021-04-19 17:00:00+00:00,2021-04-27 07:00:00+00:00,1743.4,1804.8,1897.6,559.4622619015586
ALRS,2021-04-26 10:00:00+00:00,2021-04-27 11:00:00+00:00,114.35,110.68,114.6,-454.0415513390264
VTBR,2021-04-21 07:00:00+00:00,2021-04-28 07:00:00+00:00,237.2,254.55,259.475,923.7763125431381
VTBR,2021-05-04 07:00:00+00:00,2021-05-07 07:00:00+00:00,263.675,269.05,274.15,408.8373496789357
MOEX,2021-05-06 18:00:00+00:00,2021-05-10 07:00:00+00:00,188.75,185.0,189.01,-318.7684603404568
SBER,2021-05-07 08:00:00+00:00,2021-05-11 06:00:00+00:00,317.64,303.0,320.19,-780.2414178576995
ALRS,2021-05-10 20:00:00+00:00,2021-05-12 12:00:00+00:00,116.69,114.44,116.85,-321.778086362416
